Wall time,Step,Value
1734418856.3975148,624256,28.0
1734418856.7840307,625056,64.0
1734418857.2878265,626112,144.0
1734418857.4481347,626400,44.0
1734418858.082128,627584,68.0
1734418859.5007107,630144,28.0
1734418862.8534405,632704,40.0
1734418864.0933642,634960,68.0
1734418870.2935677,642608,148.0
1734418872.394027,646256,68.0
1734418872.6279347,646656,44.0
1734418875.2320135,647888,48.0
1734418877.0047593,651200,48.0
1734418878.1510248,653200,104.0
1734418881.6459765,655936,88.0
1734418883.7278807,659728,60.0
1734418884.5610826,661168,88.0
1734418888.8325872,665248,72.0
1734418888.8968413,665360,80.0
1734418891.460345,669920,52.0
1734418894.6083577,672048,56.0
1734418895.8653266,674432,60.0
1734418897.1393447,676736,56.0
1734418898.8645394,679664,60.0
1734418904.0643084,685584,124.0
1734418905.1274676,687424,64.0
1734418910.226712,693168,108.0
1734418917.7111206,702896,92.0
1734418922.7703967,707584,36.0
1734418923.0786958,708204,76.0
1734418923.3983202,708828,56.0
1734418923.9674613,709952,84.0
1734418924.382269,710720,40.0
1734418924.550143,711040,52.0
1734418928.8235497,715168,72.0
1734418930.927278,718748,156.0
1734418935.0481408,722160,68.0
1734418936.4404838,724588,76.0
1734418937.3930802,726172,116.0
1734418937.5925367,726528,136.0
1734418942.5676148,732016,76.0
1734418942.8932164,732608,92.0
1734418943.970011,734512,76.0
1734418944.347454,735136,60.0
1734418944.6716542,735696,40.0
1734418950.4969687,742624,72.0
1734418950.5772958,742768,100.0
1734418950.9017577,743296,96.0
1734418951.0928495,743616,32.0
1734418951.877492,744992,44.0
1734418956.1961794,749292,56.0
1734418956.9213579,750560,116.0
1734418958.338627,753040,72.0
1734418964.7251866,760668,116.0
1734418969.4688485,765552,88.0
1734418971.3880448,768800,72.0
1734418975.1861358,772064,56.0
1734418975.9605806,773456,96.0
1734418980.8759775,778656,64.0
1734418983.2660723,782944,68.0
1734418984.2336588,784576,84.0
1734418991.40782,793820,116.0
1734418991.4881408,793952,48.0
1734418994.7353146,796332,72.0
1734418995.8927877,798432,96.0
1734418998.4077437,802752,76.0
1734419008.5946498,814220,88.0
1734419009.6183348,815996,104.0
1734419010.1529553,816896,180.0
1734419027.4118323,820984,144.0
1734419027.5639179,821248,44.0
1734419036.3008184,833572,72.0
1734419036.859394,834608,32.0
1734419045.4064183,842408,44.0
1734419048.2638476,844048,28.0
1734419056.1604753,854724,28.0
1734419061.4880621,860656,96.0
1734419062.6429324,862800,56.0
1734419063.3439565,864080,100.0
1734419065.4892266,867844,36.0
1734419069.0030732,870768,60.0
1734419072.073197,876084,148.0
1734419077.9260874,882900,64.0
1734419078.1446702,883276,52.0
1734419084.0117283,889172,64.0
1734419085.6589887,891956,100.0
1734419089.873143,895932,64.0
1734419092.7995536,900856,64.0
1734419092.8655457,900972,92.0
1734419095.899773,903676,68.0
1734419096.5395095,904876,64.0
1734419098.5767014,908628,108.0
1734419110.3974497,922652,84.0
1734419112.094353,925468,56.0
1734419115.8962874,928756,68.0
1734419121.225226,934620,96.0
1734419123.578475,938476,64.0
1734419125.0547917,941180,88.0
1734419127.6156251,942644,44.0
1734419127.8197055,943052,120.0
1734419128.844998,944932,48.0
1734419128.8505828,944940,132.0
1734419128.906113,945052,60.0
1734419128.9948165,945228,72.0
1734419130.0109417,947148,152.0
1734419131.6505435,950060,116.0
1734419135.039291,952756,72.0
1734419136.853768,955884,68.0
1734419137.464265,956932,192.0
1734419143.4733086,965220,100.0
1734419144.0704603,966244,40.0
1734419147.398734,968940,168.0
1734419147.889911,969844,128.0
1734419149.3692632,972420,120.0
1734419157.48309,981988,124.0
1734419163.4552677,988792,72.0
1734419175.754208,1002916,84.0
1734419177.7465618,1005484,48.0
1734419177.9271011,1005740,64.0
1734419178.4243565,1006516,80.0
1734419182.3497622,1009036,108.0
1734419184.4278836,1012224,72.0
1734419185.3574014,1013500,156.0
1734419190.7887502,1019168,96.0
1734419199.9034271,1031604,164.0
1734419204.27178,1036048,80.0
1734419216.1462033,1048648,76.0
1734419216.1693265,1048696,80.0
1734419225.490137,1061796,88.0
1734419236.1272283,1073500,72.0
1734419236.4740548,1074244,120.0
1734419244.9192169,1086160,108.0
1734419249.4995978,1090524,199.0
1734419255.6993692,1097784,64.0
1734419256.6276124,1099688,92.0
1734419258.2635965,1102328,40.0
1734419259.3368485,1104408,44.0
1734419262.431602,1106520,48.0
1734419267.8487875,1113028,40.0
1734419273.1045368,1118324,88.0
1734419278.4487743,1124048,84.0
1734419281.1362326,1128436,96.0
1734419284.809814,1131376,96.0
1734419298.5739338,1150084,96.0
1734419299.2496612,1151236,108.0
1734419299.5382814,1151736,148.0
1734419300.9065309,1153992,104.0
1734419301.4202616,1154844,80.0
1734419306.0783894,1159612,108.0
1734419307.0740838,1161260,156.0
1734419311.7917523,1166052,92.0
1734419312.6930602,1167580,136.0
1734419313.4014661,1168756,104.0
1734419318.8108015,1174732,124.0
1734419319.5040476,1175904,108.0
1734419319.8409317,1176472,104.0
1734419325.656774,1183192,100.0
1734419327.3650367,1186060,48.0
1734419330.7064571,1188360,40.0
1734419334.7117898,1195256,72.0
1734419337.8122325,1197196,52.0
