mean_score,total_steps,std_score,max_score,min_score
92.0,732608,0.0,92.0,92.0
76.0,734512,0.0,76.0,76.0
60.0,735136,0.0,60.0,60.0
40.0,735696,0.0,40.0,40.0
72.0,742624,0.0,72.0,72.0
100.0,742768,0.0,100.0,100.0
96.0,743296,0.0,96.0,96.0
32.0,743616,0.0,32.0,32.0
44.0,744992,0.0,44.0,44.0
56.0,749292,0.0,56.0,56.0
116.0,750560,0.0,116.0,116.0
72.0,753040,0.0,72.0,72.0
116.0,760668,0.0,116.0,116.0
88.0,765552,0.0,88.0,88.0
72.0,768800,0.0,72.0,72.0
56.0,772064,0.0,56.0,56.0
96.0,773456,0.0,96.0,96.0
64.0,778656,0.0,64.0,64.0
68.0,782944,0.0,68.0,68.0
84.0,784576,0.0,84.0,84.0
116.0,793820,0.0,116.0,116.0
48.0,793952,0.0,48.0,48.0
72.0,796332,0.0,72.0,72.0
96.0,798432,0.0,96.0,96.0
76.0,802752,0.0,76.0,76.0
88.0,814220,0.0,88.0,88.0
104.0,815996,0.0,104.0,104.0
180.0,816896,0.0,180.0,180.0
144.0,820984,0.0,144.0,144.0
44.0,821248,0.0,44.0,44.0
72.0,833572,0.0,72.0,72.0
32.0,834608,0.0,32.0,32.0
44.0,842408,0.0,44.0,44.0
28.0,844048,0.0,28.0,28.0
28.0,854724,0.0,28.0,28.0
96.0,860656,0.0,96.0,96.0
56.0,862800,0.0,56.0,56.0
100.0,864080,0.0,100.0,100.0
36.0,867844,0.0,36.0,36.0
60.0,870768,0.0,60.0,60.0
148.0,876084,0.0,148.0,148.0
64.0,882900,0.0,64.0,64.0
52.0,883276,0.0,52.0,52.0
64.0,889172,0.0,64.0,64.0
100.0,891956,0.0,100.0,100.0
64.0,895932,0.0,64.0,64.0
64.0,900856,0.0,64.0,64.0
92.0,900972,0.0,92.0,92.0
68.0,903676,0.0,68.0,68.0
64.0,904876,0.0,64.0,64.0
108.0,908628,0.0,108.0,108.0
84.0,922652,0.0,84.0,84.0
56.0,925468,0.0,56.0,56.0
68.0,928756,0.0,68.0,68.0
96.0,934620,0.0,96.0,96.0
64.0,938476,0.0,64.0,64.0
88.0,941180,0.0,88.0,88.0
44.0,942644,0.0,44.0,44.0
120.0,943052,0.0,120.0,120.0
48.0,944932,0.0,48.0,48.0
132.0,944940,0.0,132.0,132.0
60.0,945052,0.0,60.0,60.0
72.0,945228,0.0,72.0,72.0
152.0,947148,0.0,152.0,152.0
116.0,950060,0.0,116.0,116.0
72.0,952756,0.0,72.0,72.0
68.0,955884,0.0,68.0,68.0
192.0,956932,0.0,192.0,192.0
100.0,965220,0.0,100.0,100.0
40.0,966244,0.0,40.0,40.0
168.0,968940,0.0,168.0,168.0
128.0,969844,0.0,128.0,128.0
120.0,972420,0.0,120.0,120.0
124.0,981988,0.0,124.0,124.0
72.0,988792,0.0,72.0,72.0
84.0,1002916,0.0,84.0,84.0
48.0,1005484,0.0,48.0,48.0
64.0,1005740,0.0,64.0,64.0
80.0,1006516,0.0,80.0,80.0
108.0,1009036,0.0,108.0,108.0
72.0,1012224,0.0,72.0,72.0
156.0,1013500,0.0,156.0,156.0
96.0,1019168,0.0,96.0,96.0
164.0,1031604,0.0,164.0,164.0
80.0,1036048,0.0,80.0,80.0
76.0,1048648,0.0,76.0,76.0
80.0,1048696,0.0,80.0,80.0
88.0,1061796,0.0,88.0,88.0
72.0,1073500,0.0,72.0,72.0
120.0,1074244,0.0,120.0,120.0
108.0,1086160,0.0,108.0,108.0
199.0,1090524,0.0,199.0,199.0
64.0,1097784,0.0,64.0,64.0
92.0,1099688,0.0,92.0,92.0
40.0,1102328,0.0,40.0,40.0
44.0,1104408,0.0,44.0,44.0
48.0,1106520,0.0,48.0,48.0
40.0,1113028,0.0,40.0,40.0
88.0,1118324,0.0,88.0,88.0
84.0,1124048,0.0,84.0,84.0
96.0,1128436,0.0,96.0,96.0
96.0,1131376,0.0,96.0,96.0
96.0,1150084,0.0,96.0,96.0
108.0,1151236,0.0,108.0,108.0
148.0,1151736,0.0,148.0,148.0
104.0,1153992,0.0,104.0,104.0
80.0,1154844,0.0,80.0,80.0
108.0,1159612,0.0,108.0,108.0
156.0,1161260,0.0,156.0,156.0
92.0,1166052,0.0,92.0,92.0
136.0,1167580,0.0,136.0,136.0
104.0,1168756,0.0,104.0,104.0
124.0,1174732,0.0,124.0,124.0
108.0,1175904,0.0,108.0,108.0
104.0,1176472,0.0,104.0,104.0
100.0,1183192,0.0,100.0,100.0
48.0,1186060,0.0,48.0,48.0
40.0,1188360,0.0,40.0,40.0
72.0,1195256,0.0,72.0,72.0
52.0,1197196,0.0,52.0,52.0
140.0,1201032,0.0,140.0,140.0
84.0,1202628,0.0,84.0,84.0
108.0,1203500,0.0,108.0,108.0
64.0,1207540,0.0,64.0,64.0
40.0,1209476,0.0,40.0,40.0
120.0,1210016,0.0,120.0,120.0
184.0,1210436,0.0,184.0,184.0
72.0,1218404,0.0,72.0,72.0
100.0,1218560,0.0,100.0,100.0
156.0,1223460,0.0,156.0,156.0
40.0,1227568,0.0,40.0,40.0
48.0,1230448,0.0,48.0,48.0
76.0,1230752,0.0,76.0,76.0
88.0,1231312,0.0,88.0,88.0
60.0,1237864,0.0,60.0,60.0
116.0,1239604,0.0,116.0,116.0
92.0,1240660,0.0,92.0,92.0
48.0,1246484,0.0,48.0,48.0
176.0,1252620,0.0,176.0,176.0
80.0,1257828,0.0,80.0,80.0
199.0,1262492,0.0,199.0,199.0
144.0,1264232,0.0,144.0,144.0
199.0,1264316,0.0,199.0,199.0
68.0,1266764,0.0,68.0,68.0
156.0,1267644,0.0,156.0,156.0
52.0,1268812,0.0,52.0,52.0
88.0,1281316,0.0,88.0,88.0
92.0,1283908,0.0,92.0,92.0
52.0,1291868,0.0,52.0,52.0
76.0,1292172,0.0,76.0,76.0
72.0,1292220,0.0,72.0,72.0
104.0,1298120,0.0,104.0,104.0
60.0,1300976,0.0,60.0,60.0
199.0,1307104,0.0,199.0,199.0
56.0,1315792,0.0,56.0,56.0
199.0,1320412,0.0,199.0,199.0
184.0,1325500,0.0,184.0,184.0
100.0,1326936,0.0,100.0,100.0
72.0,1333716,0.0,72.0,72.0
56.0,1341112,0.0,56.0,56.0
199.0,1343728,0.0,199.0,199.0
199.0,1354060,0.0,199.0,199.0
199.0,1354672,0.0,199.0,199.0
56.0,1355112,0.0,56.0,56.0
160.0,1362580,0.0,160.0,160.0
156.0,1364980,0.0,156.0,156.0
160.0,1373656,0.0,160.0,160.0
188.0,1378296,0.0,188.0,188.0
199.0,1396008,0.0,199.0,199.0
100.0,1401148,0.0,100.0,100.0
156.0,1401200,0.0,156.0,156.0
199.0,1409120,0.0,199.0,199.0
128.0,1410056,0.0,128.0,128.0
199.0,1412900,0.0,199.0,199.0
199.0,1415832,0.0,199.0,199.0
108.0,1416344,0.0,108.0,108.0
108.0,1430932,0.0,108.0,108.0
128.0,1434684,0.0,128.0,128.0
96.0,1435368,0.0,96.0,96.0
60.0,1462484,0.0,60.0,60.0
60.0,1465384,0.0,60.0,60.0
40.0,1466824,0.0,40.0,40.0
68.0,1470448,0.0,68.0,68.0
199.0,1471244,0.0,199.0,199.0
72.0,1473096,0.0,72.0,72.0
199.0,1473940,0.0,199.0,199.0
144.0,1475952,0.0,144.0,144.0
199.0,1479508,0.0,199.0,199.0
